AreaInPixels,PhysicalSize,Polygon
1670,1670,[108931.0:46130.0:108930.0:46131.0:108929.0:46131.0:108928.0:46132.0:108925.0:46132.0:108924.0:46133.0:108922.0:46133.0:108917.0:46138.0:108916.0:46138.0:108915.0:46139.0:108912.0:46139.0:108911.0:46138.0:108907.0:46138.0:108906.0:46139.0:108904.0:46139.0:108903.0:46140.0:108902.0:46140.0:108901.0:46141.0:108900.0:46141.0:108899.0:46142.0:108894.0:46142.0:108893.0:46143.0:108892.0:46143.0:108891.0:46144.0:108891.0:46145.0:108890.0:46146.0:108890.0:46149.0:108889.0:46150.0:108889.0:46151.0:108890.0:46152.0:108890.0:46160.0:108889.0:46161.0:108889.0:46165.0:108890.0:46166.0:108890.0:46167.0:108891.0:46168.0:108891.0:46169.0:108895.0:46173.0:108897.0:46173.0:108898.0:46174.0:108901.0:46174.0:108902.0:46175.0:108904.0:46175.0:108905.0:46176.0:108907.0:46176.0:108908.0:46175.0:108909.0:46175.0:108910.0:46174.0:108910.0:46173.0:108911.0:46172.0:108911.0:46169.0:108913.0:46167.0:108914.0:46167.0:108915.0:46166.0:108918.0:46166.0:108927.0:46157.0:108927.0:46156.0:108928.0:46155.0:108931.0:46158.0:108931.0:46160.0:108933.0:46162.0:108934.0:46162.0:108935.0:46163.0:108944.0:46163.0:108945.0:46162.0:108945.0:46159.0:108946.0:46158.0:108945.0:46157.0:108945.0:46154.0:108944.0:46153.0:108944.0:46152.0:108941.0:46149.0:108941.0:46147.0:108940.0:46146.0:108940.0:46136.0:108939.0:46135.0:108939.0:46133.0:108937.0:46131.0:108936.0:46131.0:108935.0:46130.0]
422,422,[110474.0:46145.0:110473.0:46146.0:110471.0:46146.0:110470.0:46147.0:110470.0:46148.0:110469.0:46149.0:110469.0:46151.0:110468.0:46152.0:110468.0:46161.0:110470.0:46163.0:110471.0:46163.0:110472.0:46164.0:110473.0:46164.0:110474.0:46165.0:110476.0:46165.0:110477.0:46166.0:110482.0:46166.0:110483.0:46165.0:110485.0:46165.0:110487.0:46163.0:110488.0:46163.0:110489.0:46162.0:110489.0:46161.0:110490.0:46160.0:110490.0:46158.0:110491.0:46157.0:110491.0:46153.0:110490.0:46152.0:110490.0:46151.0:110489.0:46150.0:110488.0:46150.0:110486.0:46148.0:110485.0:46148.0:110483.0:46146.0:110482.0:46146.0:110481.0:46145.0]
477,477,[109109.0:46143.0:109108.0:46144.0:109107.0:46144.0:109103.0:46148.0:109103.0:46149.0:109102.0:46150.0:109102.0:46152.0:109101.0:46153.0:109101.0:46163.0:109102.0:46164.0:109102.0:46165.0:109103.0:46166.0:109104.0:46166.0:109107.0:46169.0:109108.0:46169.0:109111.0:46172.0:109117.0:46172.0:109118.0:46171.0:109119.0:46171.0:109120.0:46170.0:109120.0:46162.0:109119.0:46161.0:109119.0:46159.0:109118.0:46158.0:109118.0:46153.0:109119.0:46152.0:109119.0:46147.0:109117.0:46145.0:109116.0:46145.0:109115.0:46144.0:109112.0:46144.0:109111.0:46143.0]
89,89,[108319.0:46154.0:108318.0:46155.0:108318.0:46156.0:108317.0:46157.0:108317.0:46158.0:108318.0:46159.0:108318.0:46160.0:108320.0:46162.0:108322.0:46162.0:108323.0:46163.0:108325.0:46163.0:108326.0:46162.0:108327.0:46162.0:108329.0:46160.0:108329.0:46159.0:108328.0:46158.0:108328.0:46157.0:108327.0:46157.0:108326.0:46156.0:108325.0:46156.0:108324.0:46155.0:108323.0:46155.0:108322.0:46154.0]
870,870,[109285.0:46139.0:109284.0:46140.0:109283.0:46140.0:109282.0:46141.0:109277.0:46141.0:109277.0:46142.0:109275.0:46144.0:109274.0:46144.0:109274.0:46145.0:109273.0:46146.0:109273.0:46147.0:109269.0:46151.0:109268.0:46151.0:109265.0:46154.0:109265.0:46155.0:109264.0:46156.0:109264.0:46158.0:109263.0:46159.0:109263.0:46163.0:109264.0:46164.0:109264.0:46167.0:109265.0:46168.0:109265.0:46169.0:109266.0:46170.0:109267.0:46170.0:109268.0:46171.0:109269.0:46171.0:109271.0:46173.0:109277.0:46173.0:109278.0:46172.0:109282.0:46172.0:109283.0:46173.0:109288.0:46173.0:109289.0:46172.0:109290.0:46172.0:109296.0:46166.0:109296.0:46164.0:109297.0:46163.0:109297.0:46162.0:109296.0:46161.0:109296.0:46158.0:109295.0:46157.0:109295.0:46155.0:109294.0:46154.0:109294.0:46153.0:109293.0:46152.0:109293.0:46151.0:109292.0:46150.0:109292.0:46149.0:109291.0:46148.0:109291.0:46146.0:109290.0:46145.0:109290.0:46143.0:109287.0:46140.0:109286.0:46140.0]
821,821,[109608.0:46141.0:109607.0:46142.0:109604.0:46142.0:109603.0:46143.0:109603.0:46144.0:109602.0:46145.0:109602.0:46147.0:109601.0:46148.0:109601.0:46150.0:109600.0:46151.0:109600.0:46154.0:109601.0:46155.0:109601.0:46162.0:109605.0:46166.0:109606.0:46166.0:109608.0:46168.0:109609.0:46168.0:109613.0:46172.0:109614.0:46172.0:109615.0:46173.0:109623.0:46173.0:109632.0:46164.0:109632.0:46160.0:109633.0:46159.0:109632.0:46158.0:109632.0:46155.0:109631.0:46154.0:109631.0:46153.0:109630.0:46152.0:109630.0:46151.0:109625.0:46146.0:109624.0:46146.0:109623.0:46145.0:109621.0:46145.0:109619.0:46143.0:109617.0:46143.0:109616.0:46142.0:109615.0:46142.0:109614.0:46141.0]
390,390,[110115.0:46148.0:110114.0:46149.0:110113.0:46149.0:110108.0:46154.0:110108.0:46155.0:110106.0:46157.0:110106.0:46158.0:110104.0:46160.0:110104.0:46162.0:110103.0:46163.0:110103.0:46166.0:110105.0:46168.0:110107.0:46168.0:110108.0:46169.0:110115.0:46169.0:110116.0:46168.0:110118.0:46168.0:110119.0:46167.0:110120.0:46167.0:110121.0:46166.0:110122.0:46166.0:110124.0:46164.0:110124.0:46163.0:110126.0:46161.0:110126.0:46153.0:110122.0:46149.0:110121.0:46149.0:110120.0:46148.0]
222,222,[110274.0:46151.0:110273.0:46152.0:110273.0:46161.0:110274.0:46162.0:110274.0:46163.0:110276.0:46165.0:110276.0:46166.0:110279.0:46169.0:110283.0:46169.0:110284.0:46168.0:110287.0:46168.0:110288.0:46167.0:110289.0:46167.0:110290.0:46166.0:110290.0:46163.0:110288.0:46161.0:110286.0:46161.0:110283.0:46158.0:110283.0:46157.0:110282.0:46156.0:110282.0:46155.0:110281.0:46154.0:110281.0:46153.0:110279.0:46151.0]
36,36,[111105.0:46157.0:111104.0:46158.0:111104.0:46160.0:111107.0:46163.0:111107.0:46164.0:111109.0:46164.0:111109.0:46159.0:111108.0:46158.0:111108.0:46157.0]
340,340,[109864.0:46151.0:109863.0:46152.0:109862.0:46152.0:109861.0:46153.0:109859.0:46153.0:109856.0:46156.0:109855.0:46156.0:109854.0:46157.0:109854.0:46158.0:109853.0:46159.0:109853.0:46163.0:109852.0:46164.0:109853.0:46165.0:109853.0:46167.0:109854.0:46168.0:109854.0:46169.0:109857.0:46172.0:109862.0:46172.0:109863.0:46171.0:109864.0:46171.0:109865.0:46170.0:109866.0:46170.0:109867.0:46169.0:109867.0:46168.0:109869.0:46166.0:109869.0:46165.0:109870.0:46164.0:109870.0:46163.0:109871.0:46162.0:109871.0:46161.0:109872.0:46160.0:109872.0:46158.0:109873.0:46157.0:109873.0:46156.0:109872.0:46155.0:109872.0:46153.0:109870.0:46151.0]
848,848,[110162.0:46147.0:110160.0:46149.0:110159.0:46149.0:110157.0:46151.0:110157.0:46152.0:110154.0:46155.0:110154.0:46157.0:110155.0:46158.0:110156.0:46158.0:110157.0:46159.0:110159.0:46159.0:110160.0:46160.0:110162.0:46160.0:110163.0:46161.0:110164.0:46161.0:110168.0:46165.0:110168.0:46166.0:110169.0:46167.0:110170.0:46167.0:110171.0:46168.0:110172.0:46168.0:110173.0:46169.0:110174.0:46169.0:110175.0:46170.0:110176.0:46170.0:110178.0:46172.0:110180.0:46172.0:110181.0:46171.0:110182.0:46171.0:110183.0:46170.0:110191.0:46170.0:110192.0:46169.0:110193.0:46169.0:110194.0:46168.0:110195.0:46168.0:110197.0:46166.0:110198.0:46166.0:110200.0:46164.0:110201.0:46164.0:110203.0:46162.0:110204.0:46162.0:110207.0:46159.0:110207.0:46156.0:110208.0:46155.0:110208.0:46153.0:110207.0:46152.0:110191.0:46152.0:110190.0:46153.0:110182.0:46153.0:110181.0:46152.0:110180.0:46152.0:110179.0:46151.0:110177.0:46151.0:110176.0:46150.0:110173.0:46150.0:110172.0:46149.0:110168.0:46149.0:110167.0:46148.0:110166.0:46148.0:110165.0:46147.0]
150,150,[108025.0:46158.0:108024.0:46159.0:108022.0:46159.0:108020.0:46161.0:108020.0:46164.0:108021.0:46165.0:108021.0:46166.0:108022.0:46167.0:108022.0:46168.0:108023.0:46169.0:108024.0:46169.0:108025.0:46170.0:108031.0:46170.0:108033.0:46168.0:108033.0:46167.0:108034.0:46166.0:108034.0:46164.0:108033.0:46163.0:108033.0:46162.0:108032.0:46161.0:108032.0:46160.0:108031.0:46160.0:108030.0:46159.0:108029.0:46159.0:108028.0:46158.0]
252,252,[108372.0:46155.0:108371.0:46156.0:108369.0:46156.0:108368.0:46157.0:108367.0:46157.0:108365.0:46159.0:108365.0:46160.0:108364.0:46161.0:108364.0:46163.0:108365.0:46164.0:108365.0:46166.0:108366.0:46167.0:108366.0:46169.0:108367.0:46170.0:108367.0:46171.0:108369.0:46173.0:108370.0:46173.0:108373.0:46176.0:108373.0:46175.0:108374.0:46174.0:108374.0:46171.0:108375.0:46170.0:108375.0:46168.0:108376.0:46167.0:108376.0:46166.0:108377.0:46165.0:108378.0:46165.0:108379.0:46164.0:108380.0:46164.0:108381.0:46163.0:108381.0:46162.0:108382.0:46161.0:108382.0:46158.0:108380.0:46156.0:108379.0:46156.0:108378.0:46155.0]
1023,1023,[109360.0:46147.0:109359.0:46148.0:109358.0:46148.0:109357.0:46149.0:109357.0:46153.0:109356.0:46154.0:109356.0:46156.0:109355.0:46157.0:109355.0:46158.0:109354.0:46159.0:109352.0:46159.0:109351.0:46160.0:109350.0:46160.0:109350.0:46161.0:109348.0:46163.0:109348.0:46164.0:109347.0:46165.0:109347.0:46168.0:109348.0:46169.0:109348.0:46170.0:109349.0:46171.0:109349.0:46172.0:109353.0:46176.0:109353.0:46177.0:109354.0:46177.0:109357.0:46180.0:109359.0:46180.0:109360.0:46181.0:109367.0:46181.0:109368.0:46180.0:109369.0:46180.0:109370.0:46179.0:109371.0:46179.0:109373.0:46177.0:109374.0:46177.0:109376.0:46175.0:109377.0:46175.0:109383.0:46169.0:109383.0:46168.0:109384.0:46167.0:109384.0:46166.0:109385.0:46165.0:109385.0:46164.0:109386.0:46163.0:109386.0:46161.0:109387.0:46160.0:109387.0:46157.0:109386.0:46156.0:109386.0:46155.0:109385.0:46154.0:109384.0:46154.0:109383.0:46153.0:109383.0:46152.0:109380.0:46149.0:109379.0:46149.0:109378.0:46148.0:109377.0:46148.0:109376.0:46147.0]
546,546,[108226.0:46156.0:108225.0:46157.0:108224.0:46157.0:108222.0:46159.0:108221.0:46159.0:108219.0:46161.0:108219.0:46168.0:108220.0:46169.0:108220.0:46171.0:108225.0:46176.0:108226.0:46176.0:108227.0:46177.0:108228.0:46177.0:108229.0:46178.0:108230.0:46178.0:108231.0:46179.0:108233.0:46179.0:108234.0:46180.0:108235.0:46179.0:108236.0:46179.0:108241.0:46174.0:108241.0:46173.0:108247.0:46167.0:108247.0:46166.0:108248.0:46165.0:108248.0:46162.0:108247.0:46161.0:108247.0:46160.0:108244.0:46157.0:108243.0:46157.0:108242.0:46156.0]
83,83,[108128.0:46165.0:108126.0:46167.0:108126.0:46171.0:108128.0:46173.0:108129.0:46173.0:108130.0:46174.0:108132.0:46174.0:108136.0:46170.0:108136.0:46169.0:108135.0:46168.0:108135.0:46167.0:108133.0:46165.0]
384,384,[111523.0:46155.0:111521.0:46157.0:111521.0:46158.0:111520.0:46159.0:111520.0:46161.0:111519.0:46162.0:111519.0:46165.0:111518.0:46166.0:111518.0:46169.0:111517.0:46170.0:111517.0:46176.0:111518.0:46177.0:111518.0:46178.0:111519.0:46179.0:111519.0:46180.0:111520.0:46181.0:111521.0:46181.0:111522.0:46182.0:111525.0:46182.0:111526.0:46181.0:111527.0:46181.0:111528.0:46180.0:111529.0:46180.0:111532.0:46177.0:111532.0:46175.0:111533.0:46174.0:111533.0:46159.0:111530.0:46156.0:111528.0:46156.0:111527.0:46155.0]
1016,1016,[110329.0:46148.0:110329.0:46152.0:110330.0:46153.0:110330.0:46154.0:110331.0:46155.0:110331.0:46156.0:110332.0:46157.0:110332.0:46159.0:110333.0:46160.0:110333.0:46162.0:110334.0:46163.0:110334.0:46164.0:110335.0:46165.0:110335.0:46166.0:110336.0:46167.0:110336.0:46169.0:110337.0:46170.0:110337.0:46174.0:110338.0:46175.0:110338.0:46179.0:110339.0:46180.0:110339.0:46181.0:110340.0:46181.0:110345.0:46186.0:110345.0:46187.0:110347.0:46189.0:110347.0:46192.0:110349.0:46194.0:110349.0:46195.0:110351.0:46197.0:110352.0:46197.0:110353.0:46198.0:110359.0:46198.0:110362.0:46195.0:110362.0:46189.0:110361.0:46188.0:110361.0:46174.0:110360.0:46173.0:110360.0:46172.0:110359.0:46171.0:110359.0:46170.0:110358.0:46169.0:110358.0:46160.0:110357.0:46159.0:110357.0:46158.0:110356.0:46158.0:110355.0:46157.0:110353.0:46157.0:110352.0:46156.0:110351.0:46156.0:110350.0:46155.0:110349.0:46155.0:110346.0:46152.0:110345.0:46152.0:110344.0:46151.0:110343.0:46151.0:110342.0:46150.0:110340.0:46150.0:110339.0:46149.0:110337.0:46149.0:110336.0:46148.0]
593,593,[109783.0:46158.0:109782.0:46159.0:109781.0:46159.0:109780.0:46160.0:109779.0:46160.0:109778.0:46161.0:109777.0:46161.0:109776.0:46162.0:109775.0:46162.0:109773.0:46164.0:109773.0:46166.0:109772.0:46167.0:109772.0:46175.0:109773.0:46176.0:109773.0:46177.0:109776.0:46180.0:109777.0:46180.0:109778.0:46181.0:109779.0:46181.0:109780.0:46182.0:109781.0:46182.0:109782.0:46183.0:109784.0:46183.0:109785.0:46184.0:109791.0:46184.0:109792.0:46183.0:109795.0:46183.0:109797.0:46181.0:109797.0:46180.0:109798.0:46179.0:109798.0:46177.0:109799.0:46176.0:109799.0:46172.0:109798.0:46171.0:109798.0:46169.0:109797.0:46168.0:109797.0:46167.0:109795.0:46165.0:109795.0:46163.0:109794.0:46162.0:109794.0:46161.0:109791.0:46158.0]
84,84,[108396.0:46169.0:108395.0:46170.0:108395.0:46171.0:108394.0:46172.0:108395.0:46173.0:108395.0:46174.0:108396.0:46175.0:108396.0:46176.0:108397.0:46177.0:108398.0:46177.0:108399.0:46178.0:108401.0:46178.0:108402.0:46179.0:108405.0:46179.0:108405.0:46177.0:108404.0:46176.0:108404.0:46174.0:108403.0:46173.0:108403.0:46172.0:108402.0:46171.0:108401.0:46171.0:108400.0:46170.0:108399.0:46170.0:108398.0:46169.0]
397,397,[109984.0:46163.0:109983.0:46164.0:109980.0:46164.0:109979.0:46165.0:109977.0:46165.0:109976.0:46166.0:109975.0:46166.0:109974.0:46167.0:109973.0:46167.0:109972.0:46168.0:109972.0:46169.0:109971.0:46170.0:109971.0:46171.0:109970.0:46172.0:109970.0:46181.0:109972.0:46183.0:109973.0:46183.0:109974.0:46184.0:109980.0:46184.0:109981.0:46183.0:109983.0:46183.0:109984.0:46182.0:109985.0:46182.0:109986.0:46181.0:109987.0:46181.0:109989.0:46179.0:109989.0:46178.0:109990.0:46177.0:109990.0:46176.0:109991.0:46175.0:109991.0:46173.0:109992.0:46172.0:109992.0:46166.0:109990.0:46164.0:109989.0:46164.0:109988.0:46163.0]
156,156,[108286.0:46169.0:108285.0:46170.0:108285.0:46173.0:108286.0:46174.0:108286.0:46175.0:108289.0:46178.0:108290.0:46178.0:108291.0:46179.0:108292.0:46179.0:108293.0:46180.0:108294.0:46180.0:108295.0:46181.0:108298.0:46181.0:108299.0:46182.0:108300.0:46181.0:108301.0:46181.0:108302.0:46180.0:108302.0:46179.0:108301.0:46178.0:108301.0:46177.0:108300.0:46176.0:108300.0:46175.0:108296.0:46171.0:108295.0:46171.0:108294.0:46170.0:108293.0:46170.0:108292.0:46169.0]
439,439,[111473.0:46156.0:111472.0:46157.0:111471.0:46157.0:111469.0:46159.0:111469.0:46164.0:111468.0:46165.0:111468.0:46170.0:111469.0:46171.0:111469.0:46174.0:111468.0:46175.0:111468.0:46182.0:111469.0:46183.0:111469.0:46184.0:111470.0:46185.0:111470.0:46186.0:111472.0:46188.0:111473.0:46188.0:111474.0:46189.0:111477.0:46189.0:111478.0:46188.0:111479.0:46188.0:111481.0:46186.0:111481.0:46184.0:111482.0:46183.0:111482.0:46181.0:111483.0:46180.0:111483.0:46169.0:111482.0:46168.0:111482.0:46167.0:111481.0:46166.0:111481.0:46165.0:111480.0:46164.0:111480.0:46162.0:111479.0:46161.0:111479.0:46159.0:111478.0:46158.0:111478.0:46157.0:111477.0:46157.0:111476.0:46156.0]
38,38,[108571.0:46174.0:108570.0:46175.0:108575.0:46180.0:108576.0:46180.0:108577.0:46179.0:108577.0:46175.0:108576.0:46174.0]
115,115,[108873.0:46170.0:108872.0:46171.0:108871.0:46171.0:108871.0:46175.0:108870.0:46176.0:108872.0:46176.0:108874.0:46178.0:108874.0:46179.0:108875.0:46180.0:108875.0:46181.0:108877.0:46183.0:108881.0:46183.0:108882.0:46182.0:108882.0:46178.0:108881.0:46177.0:108881.0:46176.0:108880.0:46175.0:108880.0:46174.0:108876.0:46170.0]
1264,1264,[109206.0:46164.0:109205.0:46165.0:109203.0:46165.0:109202.0:46166.0:109201.0:46166.0:109198.0:46169.0:109198.0:46175.0:109199.0:46176.0:109199.0:46179.0:109200.0:46180.0:109200.0:46181.0:109201.0:46182.0:109201.0:46183.0:109204.0:46186.0:109205.0:46186.0:109206.0:46187.0:109207.0:46187.0:109212.0:46192.0:109213.0:46192.0:109214.0:46193.0:109216.0:46193.0:109217.0:46194.0:109226.0:46194.0:109227.0:46195.0:109233.0:46195.0:109234.0:46194.0:109236.0:46194.0:109237.0:46193.0:109239.0:46193.0:109240.0:46192.0:109241.0:46192.0:109245.0:46188.0:109245.0:46187.0:109246.0:46186.0:109246.0:46185.0:109247.0:46184.0:109247.0:46179.0:109246.0:46178.0:109246.0:46174.0:109245.0:46173.0:109245.0:46172.0:109244.0:46171.0:109244.0:46170.0:109241.0:46167.0:109240.0:46167.0:109239.0:46166.0:109230.0:46166.0:109229.0:46167.0:109223.0:46167.0:109221.0:46165.0:109220.0:46165.0:109219.0:46164.0]
279,279,[111077.0:46165.0:111076.0:46166.0:111075.0:46166.0:111074.0:46167.0:111073.0:46167.0:111072.0:46168.0:111072.0:46169.0:111071.0:46170.0:111071.0:46171.0:111070.0:46172.0:111070.0:46173.0:111069.0:46174.0:111069.0:46180.0:111071.0:46182.0:111072.0:46182.0:111075.0:46185.0:111075.0:46189.0:111076.0:46190.0:111077.0:46189.0:111078.0:46189.0:111081.0:46186.0:111081.0:46185.0:111082.0:46184.0:111082.0:46183.0:111083.0:46182.0:111083.0:46181.0:111084.0:46180.0:111084.0:46177.0:111083.0:46176.0:111083.0:46173.0:111082.0:46172.0:111082.0:46167.0:111080.0:46165.0]
22,22,[108614.0:46176.0:108613.0:46177.0:108606.0:46177.0:108607.0:46178.0:108608.0:46178.0:108609.0:46179.0:108612.0:46179.0:108613.0:46178.0:108614.0:46178.0]
204,204,[108850.0:46172.0:108848.0:46174.0:108848.0:46176.0:108851.0:46179.0:108851.0:46180.0:108852.0:46181.0:108853.0:46181.0:108856.0:46184.0:108857.0:46184.0:108858.0:46185.0:108860.0:46185.0:108861.0:46186.0:108862.0:46186.0:108864.0:46188.0:108865.0:46188.0:108865.0:46178.0:108866.0:46177.0:108866.0:46176.0:108864.0:46174.0:108862.0:46174.0:108861.0:46173.0:108858.0:46173.0:108857.0:46172.0]
237,237,[110574.0:46167.0:110574.0:46168.0:110573.0:46169.0:110573.0:46172.0:110574.0:46173.0:110574.0:46176.0:110575.0:46177.0:110575.0:46180.0:110576.0:46181.0:110576.0:46183.0:110577.0:46184.0:110577.0:46186.0:110578.0:46187.0:110578.0:46188.0:110580.0:46190.0:110583.0:46190.0:110586.0:46187.0:110586.0:46184.0:110587.0:46183.0:110587.0:46179.0:110586.0:46178.0:110586.0:46175.0:110582.0:46171.0:110581.0:46171.0:110577.0:46167.0]
249,249,[109081.0:46172.0:109081.0:46173.0:109080.0:46174.0:109080.0:46179.0:109081.0:46180.0:109081.0:46181.0:109083.0:46183.0:109083.0:46184.0:109086.0:46187.0:109088.0:46187.0:109089.0:46188.0:109091.0:46188.0:109092.0:46187.0:109094.0:46187.0:109095.0:46186.0:109096.0:46186.0:109097.0:46185.0:109098.0:46185.0:109098.0:46184.0:109099.0:46183.0:109099.0:46181.0:109098.0:46180.0:109098.0:46179.0:109097.0:46178.0:109097.0:46177.0:109095.0:46175.0:109094.0:46175.0:109093.0:46174.0:109092.0:46174.0:109091.0:46173.0:109090.0:46173.0:109089.0:46172.0]
179,179,[111818.0:46173.0:111817.0:46174.0:111817.0:46176.0:111816.0:46177.0:111816.0:46182.0:111817.0:46183.0:111817.0:46184.0:111818.0:46185.0:111818.0:46186.0:111819.0:46187.0:111820.0:46187.0:111821.0:46188.0:111825.0:46188.0:111826.0:46187.0:111827.0:46187.0:111829.0:46185.0:111829.0:46179.0:111828.0:46178.0:111828.0:46177.0:111826.0:46175.0:111825.0:46175.0:111824.0:46174.0:111823.0:46174.0:111822.0:46173.0]
120,120,[110243.0:46176.0:110242.0:46177.0:110242.0:46178.0:110241.0:46179.0:110240.0:46179.0:110240.0:46187.0:110242.0:46189.0:110244.0:46189.0:110245.0:46188.0:110247.0:46188.0:110250.0:46185.0:110250.0:46180.0:110248.0:46178.0:110247.0:46178.0:110245.0:46176.0]
1161,1161,[110214.0:46165.0:110213.0:46166.0:110212.0:46166.0:110211.0:46167.0:110210.0:46167.0:110205.0:46172.0:110205.0:46173.0:110203.0:46175.0:110203.0:46176.0:110201.0:46178.0:110200.0:46178.0:110198.0:46180.0:110198.0:46181.0:110196.0:46183.0:110196.0:46184.0:110195.0:46185.0:110195.0:46186.0:110194.0:46187.0:110194.0:46191.0:110195.0:46192.0:110195.0:46193.0:110197.0:46195.0:110197.0:46196.0:110198.0:46196.0:110201.0:46199.0:110202.0:46199.0:110204.0:46201.0:110205.0:46201.0:110206.0:46202.0:110213.0:46202.0:110214.0:46201.0:110215.0:46201.0:110216.0:46200.0:110218.0:46200.0:110219.0:46199.0:110220.0:46199.0:110221.0:46198.0:110223.0:46198.0:110224.0:46197.0:110225.0:46197.0:110226.0:46196.0:110227.0:46196.0:110229.0:46194.0:110230.0:46194.0:110231.0:46193.0:110232.0:46193.0:110233.0:46192.0:110233.0:46191.0:110234.0:46190.0:110234.0:46184.0:110235.0:46183.0:110235.0:46179.0:110234.0:46178.0:110234.0:46175.0:110233.0:46174.0:110233.0:46173.0:110232.0:46172.0:110232.0:46171.0:110230.0:46169.0:110230.0:46168.0:110229.0:46167.0:110228.0:46167.0:110227.0:46166.0:110226.0:46166.0:110225.0:46165.0]
502,502,[108183.0:46169.0:108182.0:46170.0:108180.0:46170.0:108179.0:46171.0:108179.0:46173.0:108181.0:46175.0:108181.0:46176.0:108182.0:46177.0:108182.0:46179.0:108183.0:46180.0:108183.0:46181.0:108184.0:46182.0:108184.0:46183.0:108185.0:46184.0:108185.0:46185.0:108186.0:46186.0:108187.0:46186.0:108189.0:46188.0:108189.0:46189.0:108190.0:46190.0:108190.0:46193.0:108191.0:46194.0:108191.0:46196.0:108192.0:46197.0:108192.0:46201.0:108193.0:46202.0:108193.0:46204.0:108195.0:46206.0:108195.0:46207.0:108196.0:46208.0:108197.0:46207.0:108197.0:46206.0:108201.0:46202.0:108202.0:46202.0:108203.0:46203.0:108205.0:46203.0:108205.0:46202.0:108204.0:46201.0:108204.0:46196.0:108203.0:46195.0:108203.0:46194.0:108202.0:46193.0:108202.0:46185.0:108201.0:46184.0:108201.0:46182.0:108200.0:46181.0:108200.0:46180.0:108198.0:46178.0:108197.0:46178.0:108195.0:46176.0:108194.0:46176.0:108191.0:46173.0:108190.0:46173.0:108187.0:46170.0:108185.0:46170.0:108184.0:46169.0]
148,148,[111117.0:46175.0:111116.0:46176.0:111113.0:46176.0:111109.0:46180.0:111109.0:46181.0:111107.0:46183.0:111107.0:46189.0:111108.0:46189.0:111109.0:46190.0:111113.0:46190.0:111118.0:46185.0:111118.0:46184.0:111119.0:46183.0:111119.0:46177.0]
373,373,[111628.0:46170.0:111627.0:46171.0:111625.0:46171.0:111624.0:46172.0:111619.0:46172.0:111618.0:46173.0:111617.0:46173.0:111612.0:46178.0:111611.0:46178.0:111607.0:46182.0:111607.0:46183.0:111604.0:46186.0:111604.0:46187.0:111605.0:46188.0:111605.0:46190.0:111606.0:46190.0:111608.0:46192.0:111608.0:46193.0:111609.0:46193.0:111611.0:46195.0:111612.0:46195.0:111617.0:46190.0:111618.0:46190.0:111620.0:46188.0:111620.0:46187.0:111632.0:46175.0:111632.0:46171.0:111631.0:46170.0]
153,153,[108344.0:46180.0:108344.0:46181.0:108343.0:46182.0:108343.0:46183.0:108344.0:46184.0:108344.0:46187.0:108345.0:46188.0:108345.0:46189.0:108346.0:46190.0:108346.0:46191.0:108347.0:46192.0:108348.0:46192.0:108349.0:46193.0:108353.0:46193.0:108356.0:46190.0:108356.0:46185.0:108355.0:46184.0:108355.0:46183.0:108352.0:46180.0]
139,139,[108830.0:46179.0:108829.0:46180.0:108829.0:46181.0:108828.0:46182.0:108828.0:46185.0:108829.0:46186.0:108829.0:46188.0:108833.0:46192.0:108834.0:46192.0:108835.0:46193.0:108836.0:46193.0:108837.0:46194.0:108839.0:46194.0:108840.0:46193.0:108840.0:46187.0:108839.0:46186.0:108839.0:46185.0:108834.0:46180.0:108832.0:46180.0:108831.0:46179.0]
1222,1222,[108930.0:46168.0:108929.0:46169.0:108926.0:46169.0:108925.0:46170.0:108923.0:46170.0:108922.0:46171.0:108921.0:46171.0:108920.0:46172.0:108919.0:46172.0:108917.0:46174.0:108916.0:46174.0:108916.0:46175.0:108915.0:46176.0:108915.0:46177.0:108914.0:46178.0:108914.0:46179.0:108913.0:46180.0:108913.0:46182.0:108912.0:46183.0:108912.0:46196.0:108916.0:46200.0:108917.0:46200.0:108918.0:46201.0:108919.0:46201.0:108920.0:46202.0:108923.0:46202.0:108924.0:46203.0:108926.0:46203.0:108927.0:46204.0:108928.0:46204.0:108929.0:46205.0:108930.0:46205.0:108931.0:46206.0:108932.0:46206.0:108934.0:46208.0:108935.0:46208.0:108936.0:46209.0:108937.0:46209.0:108943.0:46203.0:108943.0:46202.0:108947.0:46198.0:108947.0:46197.0:108950.0:46194.0:108950.0:46192.0:108951.0:46191.0:108951.0:46187.0:108950.0:46186.0:108951.0:46185.0:108951.0:46182.0:108950.0:46181.0:108950.0:46179.0:108949.0:46178.0:108949.0:46177.0:108946.0:46174.0:108945.0:46174.0:108944.0:46173.0:108942.0:46173.0:108941.0:46172.0:108939.0:46172.0:108937.0:46170.0:108936.0:46170.0:108935.0:46169.0:108933.0:46169.0:108932.0:46168.0]
